"Date" "DJI" "DPZ" "GOOG" "IBM" "AMZN" "AMD" "GM" "F" "GE" "BA"
"1" 2020-03-02 26703.300781 345.998688 1389.109985 132.52272 1953.949951 47.459999 31.041327 7.2 11.198879 231.009995
"2" 2020-03-03 25917.400391 337.983948 1341.390015 123.118828 1908.98999 46.75 30.152174 6.97 10.869206 280.619995
"3" 2020-03-04 27090.900391 340.393341 1386.52002 132.443771 1975.829956 50.110001 31.150002 7.08 10.939137 283.119995
"4" 2020-03-05 26121.300781 331.572144 1319.040039 127.835571 1924.030029 48.110001 27.120001 6.74 10.07 260.369995
"5" 2020-03-06 25864.800781 340.393341 1298.410034 126.039658 1901.089966 48.59 28.690001 6.49 9.4 262.329987
"6" 2020-03-09 23851 335.196228 1215.560059 116.250931 1800.609985 43.27 24.690001 5.9 8.21 227.169998
"7" 2020-03-10 25018.199219 342.444336 1280.390015 123.118828 1891.819946 45.380001 27.120001 6.26 8.85 231.009995
"8" 2020-03-11 23553.199219 331.203735 1215.410034 116.408821 1820.859985 45.700001 24.690001 5.9 8.21 189.080002
"9" 2020-03-12 21200.599609 316.463837 1114.910034 101.44944 1676.609985 39.009998 23.040001 5.35 7.23 154.839996
"10" 2020-03-13 23185.599609 315.984833 1219.72998 106.521416 1785 43.900002 24.709999 5.63 7.85 170.199997
"11" 2020-03-16 20188.5 285.736603 1084.329956 97.768806 1689.150024 38.709999 21 5.01 6.66 129.610001
"12" 2020-03-17 21237.400391 298.131256 1119.800049 105.238625 1807.839966 41.880001 20.32 5.01 7.08 124.139999
"13" 2020-03-18 19898.900391 289.409088 1096.800049 102.179649 1830 39.119999 16.799999 4.5 6.6 101.889999
"14" 2020-03-19 20087.199219 299.338806 1115.290039 99.012123 1880.930054 39.82 17.709999 4.47 6.48 97.709999
"15" 2020-03-20 19174 299.338806 1072.319946 94.127632 1846.089966 39.610001 18.139999 4.33 6.52 95.010002
"16" 2020-03-23 18591.900391 323.210052 1056.619995 93.515839 1902.829956 39.610001 17.6 4.01 6.11 105.620003
"17" 2020-03-24 20704.900391 342.859955 1134.459961 104.084114 1940.099976 46.220001 21.110001 4.95 7.01 127.68
"18" 2020-03-25 21200.599609 320.795013 1102.48999 106.600357 1885.839966 44.630001 21.49 5.39 7.56 158.729996
"19" 2020-03-26 22552.199219 337.820251 1161.75 111.396042 1955.48999 47.5 22.559999 5.25 8.12 180.550003
"20" 2020-03-27 21636.800781 338.049744 1110.709961 106.600357 1900.099976 46.580002 21.379999 5.19 7.62 162
"21" 2020-03-30 22327.5 346.043457 1146.819946 111.435516 1963.949951 47.860001 21.32 5.03 7.89 152.279999
"22" 2020-03-31 21917.199219 323.409668 1162.810059 109.461983 1949.719971 45.48 20.780001 4.83 7.94 149.139999
"23" 2020-04-01 20943.5 333.089874 1105.619995 103.748604 1907.699951 43.66 19.26 4.4 7.04 130.699997
"24" 2020-04-02 21413.400391 332.770569 1105.619995 108.544289 1918.829956 44.490002 18.190001 4.36 6.9 123.269997
"25" 2020-04-03 21052.5 327.561188 1097.880005 104.932724 1906.589966 42.59 18.040001 4.24 6.73 124.519997
"26" 2020-04-06 22680 333.27951 1186.920044 113.300507 1997.589966 47.52 19.549999 4.53 7.23 148.770004
"27" 2020-04-07 22653.900391 333.27951 1186.51001 113.418915 2011.599976 47.560001 21.299999 4.71 7.03 141.580002
"28" 2020-04-08 23433.599609 343.129395 1210.280029 117.711349 2043 48.790001 23.01 5.03 7.3 146.869995
"29" 2020-04-09 23719.400391 342.939789 1211.449951 119.892105 2042.76001 48.380001 24.059999 5.37 7.14 151.839996
"30" 2020-04-13 23390.800781 354.416351 1217.560059 119.546738 2168.870117 50.939999 23.01 5.16 7.02 147.330002
"31" 2020-04-14 23949.800781 357.529999 1269.22998 119.546738 2283.320068 54.93 22.98 5.29 6.93 141
"32" 2020-04-15 23504.300781 353.8974 1262.469971 117.119293 2307.679932 55.900002 21.66 5.03 6.5 145.979996
"33" 2020-04-16 23537.699219 359.735504 1263.469971 114.198463 2408.189941 56.950001 20.870001 4.94 6.24 137.740005
"34" 2020-04-17 24242.5 362.230408 1283.25 118.530365 2375 56.599998 22.48 5.12 6.51 154
"35" 2020-04-20 23650.400391 369.725098 1266.609985 118.816528 2393.610107 56.970001 22.379999 4.98 6.51 143.610001
"36" 2020-04-21 23018.900391 364.4758 1216.339966 115.214836 2328.120117 52.919998 21.24 4.77 6.51 136.330002
"37" 2020-04-22 23475.800781 382.968048 1263.209961 119.744087 2363.48999 55.919998 21.299999 4.77 6.43 134.970001
"38" 2020-04-23 23515.300781 368.88681 1276.310059 119.744087 2399.449951 55.900002 21.52 4.89 6.52 137.740005
"39" 2020-04-24 23775.300781 366.541595 1279.310059 123.069489 2410.219971 56.18 21.950001 4.87 6.26 128.979996
"40" 2020-04-27 24133.800781 361.292297 1275.880005 124.253609 2376 56.490002 21.950001 5.17 6.43 128.679993
"41" 2020-04-28 24101.5 355.284576 1233.670044 124.598976 2314.080078 55.509998 22.18 5.38 6.8 137.740005
"42" 2020-04-29 24633.900391 361.272369 1341.47998 126.986954 2372.709961 53.66 23.780001 5.26 6.21 139
"43" 2020-04-30 24345.699219 361.192505 1348.660034 123.898369 2474 52.389999 22.290001 5.09 6.8 131.460007
"44" 2020-05-01 23723.699219 356.57193 1320.609985 120.25721 2286.040039 49.880001 20.9 4.92 6.5 133.369995
"45" 2020-05-04 23749.800781 358.368286 1326.800049 120.069717 2315.98999 52.560001 20.75 4.86 6.21 131.460007
"46" 2020-05-05 23883.099609 370.703094 1351.109985 120.957809 2317.800049 52.189999 20.9 4.97 6.2 125.400002
"47" 2020-05-06 23664.599609 371.541382 1347.300049 121.540001 2351.26001 52.16 21.459999 4.87 5.98 121.860001
"48" 2020-05-07 23875.900391 366.421844 1372.560059 121.230003 2367.610107 51.950001 22.440001 4.87 6.11 128.649994
"49" 2020-05-11 24206.900391 376.720795 1403.26001 122.589996 2409 55.740002 22.799999 5.12 6.19 128.910004
"50" 2020-05-12 23764.800781 377.169891 1375.73999 120.260002 2356.949951 53.759998 22.559999 4.87 6 125.220001
"51" 2020-05-13 23248 384.175568 1349.329956 115.730003 2367.919922 52.18 21.459999 4.72 5.79 121.5
"52" 2020-05-14 23625.300781 375.243835 1356.130005 121.230003 2388.850098 54.509998 22.309999 4.89 5.7 122.519997
"53" 2020-05-15 23685.400391 375.273773 1373.189941 116.980003 2367.919922 54.200001 22.629999 4.9 5.49 120
"54" 2020-05-18 24597.400391 363.757294 1383.939941 121.559998 2426.26001 54.59 24.809999 5.31 6.27 135.440002
"55" 2020-05-19 24206.900391 369.256073 1373.484985 120.290001 2449.330078 55.470001 24.690001 5.3 6.21 130.440002
"56" 2020-05-20 24575.900391 376.471313 1406.719971 121.379997 2497.939941 56.389999 25.48 5.49 6.42 135.440002
"57" 2020-05-21 24474.099609 374.475372 1402.800049 119.120003 2446.73999 54.59 25.799999 5.63 6.48 139
"58" 2020-05-22 24465.199219 371.341797 1410.420044 118.389999 2436.879883 55.169998 24.809999 5.65 6.41 137.529999
"59" 2020-05-26 24995.099609 359.426117 1417.02002 121.760002 2421.860107 53.189999 27.4 5.84 6.8 144.729996
